id,text,label
"1", "Bu ürünün fiyatý nedir?", "bilgi"
"2", "Bugün hava çok güzel", "bilgi"
"3", "Yarýn hangi saatlerde açýyorsunuz?", "bilgi"
"4", "Ürünümü nasýl iade edebilirim?", "bilgi"
"5", "Bu restoranda hangi yemekler var?", "bilgi"
"6", "Yaz saati uygulamasýna geçiþ ne zaman?", "bilgi"
"7", "Yeni telefon modeli hakkýnda bilgi verebilir misiniz?", "bilgi"
"8", "Ýndirim kuponlarýný nasýl kullanabilirim?", "bilgi"
"9", "Bu ayki kampanyalar hakkýnda bilgi alabilir miyim?", "bilgi"
"10", "Ürün teslimatý kaç günde yapýlýr?", "bilgi"
"11", "Ürün ne zaman gelir?", "bilgi"
"12", "Ürün ne zaman elime ulaþýr?", "bilgi"
"13", "Maðazanýzýn adresi nedir?", "bilgi"
"14", "Ýnternetten aldýðým ürün ne zaman kargoya verilir?", "bilgi"
"15", "Faturamý nasýl görüntüleyebilirim?", "bilgi"
"16", "Kredi kartý ile ödeme yapabiliyor muyum?", "bilgi"
"17", "Ürün garantisi kaç yýl?", "bilgi"
"18", "Sipariþi nasýl iptal edebilirim?", "bilgi"
"19", "Sitemizde hangi ödeme yöntemlerini kullanabilirim?", "bilgi"
"20", "Hangi þehirlerde hizmet veriyorsunuz?", "bilgi"
"21", "Bana bir örnek ürün önerir misiniz?", "bilgi"
"22", "Ürünlerinizin iade koþullarý nedir?", "bilgi"
"23", "Ürünümüz 450 liradýr.", "bilgi"
"24", "Ýskenderun'da su kesintisi olacakmýþ", "bilgi"
"25", "Elektrik kesintisi yarýna kadar devam edecek.", "bilgi"
"26", "Ürün çok güzel.", "bilgi"
"27", "Türkiye'nin en yüksek daðý Aðrý Daðý'dýr.", "bilgi"
"28", "Dünyanýn en derin noktasý Mariana Çukuru'dur.", "bilgi"
"29", "Fatih Sultan Mehmet Ýstanbul'u 1453'te fethetmiþtir.", "bilgi"
"30", "Malazgirt Savaþý 1071 yýlýnda yapýlmýþtýr", "bilgi"
"31", "O bölgede belediye yol çalýþmasý yapýyormuþ.", "bilgi"
