mesaj, niyet
Merhaba sana yeni açılan kafeyi tavsiye edebilirim menüsü gerçekten çok geniş, bilgi
Bugün havanın yağmurlu olacağı söyleniyor dışarı çıkmadan önce bir kontrol et, bilgi	
Geçen hafta çok güzel bir film izledim adı Çalıkuşuydu gerçekten harikaydı mutlaka izlemeni öneririm, bilgi	
Bu akşam yedideki toplantıyı unutmaman iyi olur saatini hatırlatayım dedim, bilgi	
Sana yeni bir uygulama öneriyorum çok işine yarayabilir adı DivingLog hemen indirip deneyebilirsin, bilgi	
Dün seninle konuştuğumuz konu hakkında biraz araştırma yaptım bu konuda şunları buldum, bilgi	
Bir arkadaşımın önerisiyle geçen hafta çok lezzetli bir restorana gittim adı AmanHa yemekler mükemmeldi, bilgi	
Eğer pazara gideceksen bu hafta sonu büyük indirim var Belki işine yarar, bilgi	
Bana kalırsa bu yeni kitap gerçekten okuman gereken bir eser adını hemen yazayım, bilgi	
Geçen gün öğrendiğim yeni bir diyet tarifini denemek istersen sana gönderebilirim, bilgi	
Elektrikler yine kesildi çok sıkıcı, şikayet	
İnternet yine çok yavaş çalışamıyorum, şikayet	
Hocanın sınavdaki soruları çok zordu, şikayet	
Bu kadar çok ödev verilmesi mantıksız, şikayet	
Uygulama sürekli çöküyor sinir oldum, şikayet	
Bu ürünü satın aldım ama hiç beklediğim gibi çıkmadı çok kötü, şikayet
Yolda trafik çok yoğun bir türlü ilerleyemiyorum, şikayet
Müşteri hizmetleriyle iletişim kurmak neredeyse imkansı, hiç yardımcı olmuyorlar, şikayet
Siparişim geç geldi ve ürünüm hasar görmüş bu durum beni çok üzüyor, şikayet
Sık sık kesintiler oluyor internetim neredeyse hiç çalışmıyor, şikayet
